,Country,Agricultural land  % of land area 2000-02,Agricultural land  % of land area 2014-16,Agricultural land  % irrigated 2014-16,Average annual precipitation  millimeters 2014,Land under cereal production  hectares thousands 2000-02,Land under cereal production  hectares thousands 2014-16,Fertilizer consumption  % of fertilizer production 2014-16,Fertilizer consumption  kilograms per hectare of arable land 2014-16,Agricultural employment  % of total employment 2000-02,Agricultural employment  % of total employment 2014-16,Agricultural machinery tractors per 100 sq. km of arable land 2000,Agricultural machinery tractors per 100 sq. km of arable land 2009,Exposure to impact Land area where elevation is below 5 meters % of land area 2010,Exposure to impact Population living in areas where elevation is below 5 meters % of total population 2010,"Exposure to impact Population affected by droughts, floods, and extreme temperatures average annual; % of total population 2009",Exposure to impact Urban land area where elevation is below 5 meters % of urban land area 2010,Exposure to impact Rural population living in areas where elevation is below 5 meters % of rural population 2010,Exposure to impact Rural land area where elevation is below 5 meters % of rural land area 2010,Exposure to impact Urban population living in areas where elevation is below 5 meters % of urban population 2010,"Resilience Disaster risk reduction progress score 1, worst to 5,best 2011",Net energy imports  % of energy use 1990,Net energy imports  % of energy use 2015,GDP per unit of energy use  2011 PPP $ per kilogram of oil equivalent 1990,GDP per unit of energy use  2011 PPP $ per kilogram of oil equivalent 2015,Carbon dioxide emissions Total thousand metric tons 1990,Carbon dioxide emissions Total thousand metric tons 2014,Carbon dioxide emissions Carbon intensity kilograms per kilograms of oil equivalent energy use 1990,Carbon dioxide emissions Carbon intensity kilograms per kilograms of oil equivalent energy use 2014,Carbon dioxide emissions per capita metric tons 1990,Carbon dioxide emissions per capita metric tons 2014,Carbon dioxide emissions  kilograms per 2011 PPP $ of GDP 1990,Carbon dioxide emissions  kilograms per 2011 PPP $ of GDP 2014,Access to electricity  % of population 2000,Access to electricity  % of population 2016,Access to electricity  % of urban population 2016,Access to electricity  % of rural population 2016,Access to clean fuels and technologies for cooking  % of population 2000,Access to clean fuels and technologies for cooking  % of population 2016,Renewable energy consumption  % of total final energy consumption 2000,Renewable energy consumption  % of total final energy consumption 2015,Renewable electricity output  % of total electricity output 2000,Renewable electricity output  % of total electricity output 2015,Annual freshwater withdrawals Flows billion cu. m 2014,Annual freshwater withdrawals  billion cu. m 2014,Annual freshwater withdrawals  % of internal resources 2014,Annual freshwater withdrawals  % for agriculture 2015,Annual freshwater withdrawals  % for industry 2014,Water productivity  % of domestic 2015,People using at least basic drinking water services GDP/water use 2010 $ per cu. m 2015,People using at least basic drinking water services Urban % of urban population 2018,People using at least basic drinking water services Rural % of Rural population 2018,Total greenhouse gas emissions  % change 1990-2012,Methane emissions  thousand metric tons of carbon dioxide equivalent 2012,Methane emissions  % change 1990-2012,Methane emissions From energy processes % of total 2008,Methane emissions Agricultural % of total 2008,Nitrous oxide emissions  thousand metric tons of carbon dioxide equivalent 2012,Nitrous oxide emissions  % change 1990-2012,Nitrous oxide emissions From energy processes % of total 2008,Nitrous oxide emissions Agricultural % of total 2008,Other greenhouse gas emissions  thousand metric tons of carbon dioxide equivalent 2012,Other greenhouse gas emissions  % change 1990-2012,Prevalence of smoking Male % of adults 2016,Prevalence of smoking female % of adults 2016,"Incidence of tuberculosis  per 100,000 people 2018",Prevalence of diabetes  % of population ages 20 to 79 2019,"Incidence of HIV Total per 1,000 uninfected population ages 15-49 2018",Prevalence of HIV Total % of population ages 15-49 2018,Prevalence of HIV Women's share of population ages 15+ living with HIV % 2018,"Prevalence of HIV Youth, Male % of population ages 15-24 2018","Prevalence of HIV Youth, Female % of population ages 15-24 2018",Antiretroviral therapy coverage  % of people living with HIV 2018,"Cause of death Communicable diseases and maternal, prenatal, and nutrition conditions % of population 2016",Cause of death Non-communicable diseases % of population 2016,Cause of death Injuries % of population 2016,Health expenditure Current % of GDP 2016,Health expenditure Public % of current 2016,Health expenditure Out of pocket % of current 2016,Health expenditure per capita $ 2016,Health expenditure per capita current PPP $ 2016,External health expenditure (% of current health expenditure)   2016,"Health workers Physicians per 1,000 people 2009-18","Health workers Nurses and midwives per 1,000 people 2009-18","Specialist surgical workforce  per 100,000 population 2008-18",Completeness of birth registration  % 2009-18,Completeness of death registration  % 2008-16,Rural population  % of total 2000,Rural population  % of total 2018,Rural population growth (annual %)   2018,Land area  sq. km thousands 2016,Land use Forest area % of land area 2000,Land use Forest area % of land area 2016,Land use Permanent cropland % of land area 2000,Land use Permanent cropland % of land area 2016,Land use Arable land % of land area 2000,Land use Arable land % of land area 2016,Arable land  hectares per person 2000,Arable land  hectares per person 2016,People using  safely managed drinking water services  % of population 2017,People using  safely managed sanitation services  % of population 2017,Access to electricity  % of population 2017,Renewable energy consumption  % of total final energy consumption 2015.1,Expenditures for R&D  % of GDP 2015,Urban population living in slums  % of urban population 2014,Ambient PM2.5 air pollution mean annual exposure micrograms per cubic meter 2016,Adjusted net savings  % of GNI 2017,Carbon dioxide emissions per capita metric tons 2014.1,Nationally protected terrestrial and marine areas  % of total territorial area 2018,"Intentional homicides Combined source estimates per 100,000 people 2015",Internet use Individuals using the Internet % of population 2017
0,Afghanistan,58.0,58.0,6.5,327.0,0.0,0.0,590.1,12.2,63.5,38.8,0.1,0.1,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.0,0.2,0.0,97.7,99.5,97.1,8.8,32.4,54.2,18.4,75.0,86.1,47.2,0.0,0.0,0.0,0.0,0.0,0.0,95.9,57.3,43.5,0.0,80.4,8.2,62.7,0.0,24.6,6.0,71.3,0.0,118.1,0.0,0.0,189.0,9.2,0.04,0.1,29.0,0.1,0.1,13.0,36.0,44.0,20.0,10.2,5.1,77.4,57.2,162.8,17.5,0.3,0.3,0.0,42.3,0.0,78.0,75.0,2.1,652.9,2.1,2.1,0.1,0.3,11.8,11.8,0.37,0.22,0.0,0.0,97.7,18.4,0.0,62.7,56.3,2.7,0.3,0.1,10.0,13.5
1,Albania,42.0,43.0,19.6,0.0,157.6,148.1,0.0,126.1,45.9,39.8,139.9,121.9,4.9,7.1,5.3,0.3,4.7,4.6,2.4,0.0,8.0,14.0,5.5,13.2,0.0,0.0,2.1,2.4,1.7,2.0,0.4,0.2,100.0,100.0,100.0,100.0,39.8,77.4,41.4,38.6,96.1,100.0,26.9,1.3,4.9,39.0,18.0,43.0,7.0,91.8,89.9,-19.9,0.0,3.8,25.8,65.0,0.0,-26.5,6.2,80.6,900.0,-75.0,51.0,7.0,18.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,93.0,4.0,6.7,41.4,58.0,271.5,759.7,0.7,1.2,3.6,11.6,98.4,53.0,58.0,40.0,-2.6,27.4,28.1,28.1,4.4,3.0,21.1,22.6,0.19,0.22,70.0,39.9,100.0,38.6,0.0,0.0,18.2,8.2,2.0,13.5,2.8,71.8
2,Algeria,17.0,17.0,2.8,89.0,0.0,0.0,8.2,22.3,21.7,8.3,124.9,139.6,0.0,0.8,0.0,0.0,0.2,0.0,0.6,3.5,-351.0,-177.0,12.0,10.2,0.0,0.0,3.5,2.8,3.0,3.7,0.3,0.3,0.0,100.0,100.0,100.0,86.5,92.6,0.4,0.1,0.2,0.3,11.3,7.8,69.4,59.0,5.0,36.0,22.0,95.4,88.7,65.8,0.0,50.2,79.4,10.0,0.0,49.9,7.2,53.9,0.0,202.7,30.0,1.0,69.0,6.7,0.05,0.1,46.0,0.1,0.1,81.0,15.0,76.0,10.0,6.6,67.7,30.9,260.4,998.2,0.0,1.8,2.2,12.1,100.0,0.0,40.0,27.0,-0.1,0.0,0.7,0.8,0.2,0.4,3.2,3.1,0.25,0.18,0.0,17.7,100.0,0.1,0.5,0.0,39.9,21.2,3.7,7.1,1.4,47.7
3,American Samoa,23.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,107.8,3.6,3.3,0.0,1.4,1.3,2.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.3,13.0,48.3,0.0,24.8,24.0,0.0,0.0,99.2,0.0,433.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,13.0,-0.1,0.2,90.2,87.5,11.5,9.5,12.5,15.0,0.04,0.05,12.6,0.0,0.0,0.9,0.0,0.0,12.4,0.0,0.0,8.7,7.2,0.0
4,Andorra,49.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407.0,462.0,0.0,0.0,7.5,5.8,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,14.9,19.7,100.0,86.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,29.0,3.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,49.1,41.7,0.0,0.0,0.0,3.3,4.0,83.1,100.0,80.0,8.0,12.0,0.7,0.5,34.0,34.0,0.0,0.0,2.1,1.7,0.02,0.01,90.6,100.0,100.0,19.7,0.0,0.0,10.3,0.0,5.8,26.7,0.0,91.6
5,Angola,46.0,47.0,0.0,0.0,0.0,0.0,0.0,8.0,37.0,49.4,0.0,0.0,0.1,1.4,1.0,0.0,0.2,0.1,1.2,0.0,-387.0,-541.0,9.6,12.5,0.0,0.0,0.9,2.4,0.4,1.3,0.1,0.2,20.0,40.6,70.8,0.0,37.3,48.1,74.6,49.6,63.1,53.2,148.0,0.7,0.5,0.0,34.0,0.0,0.0,71.2,27.4,-18.0,0.0,-14.0,63.8,23.0,0.0,-79.5,6.0,81.3,0.0,0.0,0.0,0.0,355.0,4.5,1.6,2.0,69.0,0.3,1.2,27.0,63.0,27.0,9.0,2.9,44.1,35.2,95.2,185.8,3.6,0.2,1.3,0.0,25.0,0.0,50.0,34.0,1.3,0.0,47.9,46.3,0.2,0.2,2.4,3.9,0.18,0.17,0.0,0.0,41.9,49.6,0.0,55.5,31.8,-16.3,1.3,5.0,4.8,14.3
6,Antigua and Barbuda,20.0,20.0,0.0,0.0,0.0,0.0,0.0,13.9,0.0,0.0,0.0,0.0,13.2,11.8,0.0,5.8,3.2,7.5,8.6,2.8,0.0,0.0,11.0,0.0,282.0,532.0,2.9,0.0,4.5,5.7,0.3,0.3,100.0,100.0,100.0,100.0,96.7,98.8,0.0,0.0,0.0,0.0,0.1,0.0,8.5,16.0,22.0,63.0,265.0,0.0,0.0,48.5,43.0,21.9,2.8,61.4,26.0,54.5,12.6,51.3,111.0,0.0,0.0,0.0,6.0,13.1,0.0,0.0,0.0,0.0,0.0,0.0,12.0,82.0,6.0,4.3,60.6,32.2,623.1,976.4,0.0,2.8,3.1,14.0,0.0,79.0,68.0,75.0,1.0,0.4,22.7,22.3,2.3,2.3,9.1,9.1,0.05,0.04,0.0,0.0,100.0,0.0,0.0,0.0,18.5,0.0,5.7,0.3,10.3,76.0
7,Argentina,47.0,54.0,0.0,591.0,0.0,0.0,256.6,50.3,1.0,0.1,89.6,87.7,0.9,3.0,0.2,0.1,1.0,0.8,2.1,3.3,-5.0,13.0,8.1,9.3,0.0,0.0,2.4,2.4,3.4,4.8,0.3,0.3,95.5,100.0,100.0,99.7,94.8,98.4,11.1,10.0,33.2,28.1,292.0,37.7,12.9,74.0,11.0,15.0,12.0,99.6,93.0,42.7,0.0,-13.3,17.7,73.5,0.0,37.9,3.1,90.6,0.0,100.5,28.0,16.0,27.0,5.9,0.3,0.4,32.0,0.1,0.1,61.0,16.0,78.0,7.0,7.5,74.4,15.8,955.2,0.0,0.6,4.0,2.6,50.1,100.0,100.0,11.0,8.0,-0.5,0.0,11.6,9.8,0.4,0.4,10.1,14.3,0.75,0.9,0.0,0.0,100.0,10.0,0.6,16.7,13.8,5.4,4.8,7.4,6.5,74.3
8,Armenia,49.0,59.0,9.2,562.0,184.9,194.7,0.0,110.5,38.8,33.6,291.6,291.6,0.0,0.0,0.5,0.0,0.0,0.0,0.0,3.0,98.0,71.0,1.7,7.8,0.0,0.0,1.4,1.9,1.7,1.9,0.9,0.2,98.9,100.0,100.0,100.0,82.0,96.9,7.2,15.8,21.2,28.3,6.9,3.3,42.9,90.0,4.0,6.0,4.0,99.9,100.0,-50.2,0.0,18.5,55.4,35.9,0.0,27.0,3.2,81.1,0.0,511.5,52.0,2.0,31.0,6.1,0.1,0.2,34.0,0.1,0.1,53.0,3.0,93.0,4.0,9.9,16.5,80.6,358.8,876.9,1.7,2.9,5.6,86.7,99.3,76.0,35.0,37.0,0.1,28.5,11.7,11.7,1.3,2.0,15.8,15.7,0.15,0.15,86.5,48.2,100.0,15.8,0.3,14.4,32.2,1.5,1.9,23.1,2.6,64.7
9,Aruba,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,7.1,0.0,4.7,2.4,2.4,4.7,0.0,0.0,0.0,0.0,0.0,0.0,873.0,0.0,0.0,26.4,8.4,0.7,0.2,91.7,100.0,100.0,100.0,0.0,0.0,0.2,6.7,0.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,52.8,6.4,3.7,6.0,-45.1,36.5,13.0,0.0,-33.3,0.0,0.0,5.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,57.0,0.2,0.2,2.3,2.3,0.0,0.0,11.1,11.1,0.02,0.02,0.0,0.0,100.0,6.7,0.0,0.0,0.0,0.0,8.4,0.1,1.9,97.2
